1,page,CLASSIC AN VINTAGE,,,Quantity (oz),,,
2,,,,,,,,
3,139,20TH CENTURY,BEEFEATER LONDON DRY GIN,GIN (LONDON DRY),1.5,"Shake all the ingredients with ice, then double",,
4,139,20TH CENTURY,MARIE BRIZARD WHITE CRÈME DE CACAO,LIQUEUR (CRÈME DE CACAO),0.75,strain into a coupe. No garnish.,,
5,139,20TH CENTURY,COCCHI AMERICANO,APERITIF (COCCHI AMERICANO),0.75,,,
6,139,20TH CENTURY,LEMON JUICE,JUICE (LEMON),0.75,,,
7,,,,,,,,
8,139,AIRMAIL,RON DEL BARRILITO 3-STAR RUM,RUM (SPANISH),1,Shake all the ingredients (except the champagne),,
9,139,AIRMAIL,LIME JUICE,JUICE (LIME),0.5,"with ice, then strain into a flute. Top with",,
10,139,AIRMAIL,ACACIA HONEY SYRUP,SYRUP (HONEY),0.5,champagne. No garnish.,,
11,139,AIRMAIL,DRY CHAMPAGNE,WINE (SPARKLING),remainder,,,
12,,,,,,,,
13,139,AVIATION,PLYMOUTH GIN,GIN (PLYMOUTH),2,GARNISH: 1 BRANDIED CHERRY,,
14,139,AVIATION,LUXARDO MARASCHINO LIQUEUR,LIQUEUR (CHERRY),0.5,"Shake all the ingredients with ice, then strain into",,
15,139,AVIATION,CRÈME YVETTE,LIQUEUR (CRÈME YVETTE),0.5,a coupe. Garnish with the cherry.,,
16,139,AVIATION,LEMON JUICE,JUICE (LEMON),0.75,,,
17,139,AVIATION,SIMPLE SYRUP,SYRUP (SIMPLE),0.25,,,
18,,,,,,,,
19,140,BAMBOO,DOLIN BLANC VERMOUTH,VERMOUTH (BLANC),1.5,GARNISH: 1 LEMON TWIST,,
20,140,BAMBOO,BARBADILLO PRINCIPE AMONTILLADO SHERRY,SHERRY (AMONTILLADO),1.5,"Stir all the ingredients over ice, then strain into a",,
21,140,BAMBOO,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.5,rocks glass. Garnish with the lemon twist.,,
22,140,BAMBOO,HOUSE ORANGE BITTERS,BITTERS (ORANGE),0.03125,,,
23,140,BAMBOO,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
24,,,,,,,,
